epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
1,8.139472967351981,0.12215000825272332,0.166459030661507,7.3058839998489775,0.18974358974358974,0.2523076923076923
2,6.225958808053913,0.27254851927789187,0.3636882157777582,6.106127331562531,0.2837179487790817,0.38461538467651757
3,4.977673596733032,0.3536466385446705,0.5064317127660503,5.245717207346207,0.3365384615995945,0.491025641086774
4,4.054541395410626,0.4083424643083105,0.6180298095315017,4.611731602350871,0.37051282045168754,0.5707692308303637
5,3.362152138176192,0.44928928447462535,0.7067229035044776,4.190374095378778,0.384999999938867,0.617051282051282
