epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
1,8.561205876668295,0.0593,0.0892,8.259615949630737,0.10475,0.13975
2,7.094156600952148,0.17646666666666666,0.24326666666666666,7.655284355163574,0.17275,0.22475
3,6.107110747782389,0.2631,0.35756666666666664,7.123982136726379,0.23475,0.28675
4,5.271224265797933,0.32916666666666666,0.45703333333333335,6.70551233959198,0.263,0.34675
5,4.561227054341634,0.3813,0.5490666666666667,6.368601518630982,0.28575,0.396
