epoch,train_loss,train_dist,val_loss,val_dist
1,0.05475077979856481,0.2886184555987517,0.041009635496884585,0.2405671674311161
2,0.040765308652073146,0.2378366535405318,0.03910050541721284,0.2312317002415657
3,0.03995897947562237,0.23405321104327836,0.04075017271656543,0.2389754341840744
4,0.03937788308784366,0.23191172489523887,0.0401510967630893,0.2405933912396431
5,0.039107335819241903,0.23124069700638453,0.04014752727001905,0.2450919980108738
